cluster,fs,bytes,n_tasks,n_nodes,n_files,write_mean_rate,write_sd_rate,write_mean_time,write_sd_time,stat_mean_rate,stat_sd_rate,stat_mean_time,stat_sd_time,read_mean_rate,read_sd_rate,read_mean_time,read_sd_time,removal_mean_rate,removal_sd_rate,removal_mean_time,removal_sd_time
claix18,beeond,128,4,4,1000,5685.709,405.381,0.707,0.053,51859.230,4441.467,0.078,0.007,8858.840,683.154,0.454,0.036,10393.272,179.066,0.385,0.007
claix18,beeond,256,4,4,1000,5605.194,334.620,0.716,0.044,52459.457,3895.278,0.077,0.006,8939.975,960.340,0.452,0.045,10421.860,203.141,0.384,0.008
claix18,beeond,512,4,4,1000,5727.149,303.362,0.700,0.036,50679.072,2890.317,0.079,0.004,9074.107,989.026,0.445,0.046,10289.656,380.307,0.389,0.015
claix18,beeond,1024,4,4,1000,5800.505,295.744,0.691,0.039,53352.479,2241.631,0.075,0.003,9283.445,625.765,0.433,0.030,10373.043,206.091,0.386,0.007
claix18,beeond,2048,4,4,1000,5774.258,467.378,0.697,0.059,52876.798,6111.762,0.077,0.009,8838.818,857.739,0.456,0.045,10416.185,268.780,0.384,0.010
claix18,beeond,4096,4,4,1000,5690.713,451.132,0.707,0.059,52855.587,5962.878,0.076,0.009,8796.604,984.436,0.460,0.051,10479.252,320.231,0.382,0.012
claix18,beeond,8912,4,4,1000,5798.477,425.055,0.694,0.054,53163.630,3986.643,0.076,0.006,9275.259,1457.609,0.441,0.066,10364.112,276.553,0.386,0.010
claix18,beeond,16384,4,4,1000,5272.496,313.552,0.761,0.044,51506.212,4582.519,0.078,0.007,8469.692,1045.690,0.479,0.057,10311.301,201.291,0.388,0.008
claix18,beeond,32768,4,4,1000,5588.090,290.942,0.718,0.040,54434.819,3971.110,0.074,0.005,9282.084,969.848,0.436,0.052,10277.645,252.269,0.390,0.009
claix18,beeond,65536,4,4,1000,5333.382,435.501,0.755,0.067,54577.849,3501.846,0.073,0.005,9419.825,893.239,0.428,0.044,10196.904,81.931,0.393,0.003
claix18,beeond,131072,4,4,1000,5106.948,258.748,0.785,0.040,52015.507,3628.748,0.077,0.005,8378.524,543.629,0.479,0.030,10291.734,118.958,0.389,0.005
claix18,beeond,262144,4,4,1000,4662.086,247.701,0.860,0.048,55325.411,4462.066,0.073,0.006,6450.611,379.019,0.622,0.037,10333.072,276.586,0.387,0.010
claix18,beeond,524288,4,4,1000,3916.367,250.774,1.025,0.067,53161.339,6193.709,0.076,0.009,4573.510,332.955,0.879,0.063,10253.371,191.987,0.390,0.007
claix18,beeond,1048576,4,4,1000,3370.113,128.474,1.188,0.047,51363.176,2540.870,0.078,0.004,3862.650,202.129,1.038,0.055,10097.108,181.017,0.396,0.007
claix18,beeond,2097152,4,4,1000,2788.164,95.246,1.436,0.049,52618.915,3547.758,0.076,0.005,3566.882,116.049,1.123,0.037,10013.083,310.630,0.400,0.013
claix18,beeond,4194304,4,4,1000,1642.553,29.236,2.436,0.043,51330.296,2662.368,0.078,0.004,2099.613,42.749,1.906,0.039,9654.740,124.763,0.415,0.006
claix18,beeond,8388608,4,4,1000,928.926,7.008,4.306,0.033,53852.472,3640.128,0.074,0.005,1224.304,31.796,3.269,0.085,9762.212,319.127,0.410,0.014
claix18,beeond,16777216,4,4,1000,491.662,7.100,8.137,0.117,51123.046,3251.878,0.079,0.005,599.257,13.094,6.678,0.144,7323.154,1118.390,0.557,0.080
claix18,beeond,33554432,4,4,1000,257.283,3.302,15.549,0.200,53844.826,4045.180,0.074,0.006,298.048,1.877,13.421,0.084,4173.389,556.726,0.974,0.128
claix18,beeond,67108864,4,4,1000,130.327,0.608,30.693,0.143,55771.395,4277.837,0.072,0.006,152.036,1.425,26.312,0.246,2331.249,205.706,1.728,0.161
claix18,beeond,134217728,4,4,1000,22.545,2.949,181.125,31.750,54982.533,5498.606,0.073,0.007,52.794,14.969,82.677,28.813,1204.723,102.125,3.342,0.286
claix18,beeond,268435456,4,4,1000,6.056,1.449,694.957,163.152,48409.571,15643.038,0.109,0.069,3.121,0.973,1400.050,473.163,869.712,113.541,4.688,0.757
claix18,lustre,1,1,1,1000,1219.229,166.542,0.840,0.166,24018.207,432.146,0.042,0.001,13921.907,411.988,0.072,0.002,4159.549,286.974,0.242,0.016
claix18,lustre,2,1,1,1000,1227.376,173.108,0.835,0.157,23903.451,699.921,0.042,0.001,13906.915,541.605,0.072,0.003,4085.739,127.260,0.245,0.007
claix18,lustre,4,1,1,1000,1243.066,133.629,0.816,0.118,23510.253,543.024,0.043,0.001,14274.697,697.278,0.071,0.003,4122.624,150.938,0.243,0.009
claix18,lustre,8,1,1,1000,1228.348,103.491,0.820,0.078,24133.170,723.164,0.042,0.001,13932.423,280.807,0.072,0.001,4072.541,161.111,0.246,0.010
claix18,lustre,16,1,1,1000,1283.120,31.550,0.780,0.020,23654.180,768.135,0.042,0.001,13943.080,566.033,0.072,0.003,4163.091,247.283,0.241,0.014
claix18,lustre,32,1,1,1000,1237.506,128.375,0.819,0.112,23537.478,537.273,0.043,0.001,14013.439,411.793,0.072,0.002,3992.589,106.081,0.251,0.006
claix18,lustre,64,1,1,1000,1273.759,71.966,0.788,0.049,23536.825,916.389,0.043,0.002,14234.338,410.036,0.071,0.002,4154.195,192.884,0.241,0.012
claix18,lustre,128,1,1,1000,1265.050,38.378,0.791,0.024,23705.247,442.674,0.042,0.001,14056.813,401.308,0.071,0.002,3977.350,129.182,0.252,0.008
claix18,lustre,256,1,1,1000,1272.228,27.725,0.786,0.017,23867.630,586.216,0.042,0.001,13878.174,345.047,0.072,0.002,4085.023,175.001,0.245,0.010
claix18,lustre,512,1,1,1000,1222.228,175.648,0.843,0.188,23841.522,764.362,0.042,0.001,13649.817,398.191,0.074,0.002,4019.964,136.081,0.249,0.008
claix18,lustre,1024,1,1,1000,1180.263,144.644,0.860,0.119,24012.498,917.560,0.042,0.002,14184.679,490.119,0.071,0.003,4169.968,214.918,0.241,0.012
claix18,lustre,2048,1,1,1000,1241.260,56.694,0.807,0.038,23619.504,811.309,0.043,0.001,14122.932,487.896,0.071,0.003,3990.287,106.840,0.251,0.007
claix18,lustre,4096,1,1,1000,1192.211,164.561,0.859,0.161,23975.352,858.945,0.042,0.002,13956.536,513.767,0.072,0.003,4051.110,170.788,0.247,0.011
claix18,lustre,8912,1,1,1000,1263.841,15.588,0.791,0.010,23511.728,937.444,0.043,0.002,13679.735,352.794,0.073,0.002,4119.962,152.911,0.243,0.009
claix18,lustre,16384,1,1,1000,1243.238,78.990,0.808,0.060,24078.535,823.685,0.042,0.001,13944.783,425.940,0.072,0.002,4075.381,104.160,0.246,0.006
claix18,lustre,32768,1,1,1000,1172.147,201.667,0.882,0.185,23450.684,845.870,0.043,0.001,14067.359,493.298,0.071,0.003,4127.032,211.893,0.243,0.012
claix18,lustre,65536,1,1,1000,1271.541,50.423,0.788,0.031,23710.659,788.696,0.042,0.001,13627.852,406.146,0.074,0.002,4173.640,236.737,0.241,0.013
claix18,lustre,131072,1,1,1000,714.188,493.144,8.167,19.855,21599.370,7215.295,0.130,0.278,12009.313,4185.044,0.633,1.762,3760.909,1335.312,0.824,1.836
claix18,lustre,262144,1,1,1000,988.233,38.884,1.013,0.040,23843.469,522.654,0.042,0.001,12701.442,444.624,0.079,0.003,4570.021,281.355,0.220,0.013
claix18,lustre,524288,1,1,1000,751.831,29.020,1.332,0.051,23881.586,763.833,0.042,0.001,10315.937,329.572,0.097,0.003,4933.510,277.875,0.204,0.011
claix18,lustre,1048576,1,1,1000,526.168,17.027,1.902,0.060,23389.384,1261.399,0.043,0.002,7959.262,188.623,0.126,0.003,5153.121,247.792,0.195,0.010
claix18,lustre,2097152,1,1,1000,144.158,4.526,6.943,0.224,23626.248,740.263,0.043,0.002,5713.800,105.108,0.175,0.003,4286.207,122.801,0.234,0.007
claix18,lustre,4194304,1,1,1000,76.957,30.914,20.078,20.285,21219.395,7433.193,0.585,1.714,3615.216,51.844,0.277,0.004,2582.710,71.142,0.388,0.011
claix18,lustre,8388608,1,1,1000,42.493,32.187,48.120,43.750,15534.530,10293.842,0.529,0.798,1386.808,878.343,2.023,2.836,932.378,627.494,2.873,3.364
claix18,lustre,16777216,1,1,1000,69.954,4.102,14.344,0.931,21778.892,862.648,0.046,0.002,915.264,29.389,1.094,0.035,788.574,8.446,1.268,0.013
